message_id,source,message_text,priority_label,action_required
msg_001,synthetic,The client presentation has been moved to 2pm today — please update your slides before then.,urgent,true
msg_002,realistic_synthetic,"Hi team, just a reminder that timesheets are due by end of day Friday as usual.",routine,true
msg_003,adapted_real_world,We've noticed unusual login activity on your account. Please reset your password immediately.,urgent,true
msg_004,synthetic,The new coffee machine has been installed in the second-floor kitchen.,informational,false
msg_005,realistic_synthetic,"Could you review the attached budget proposal when you get a chance? No rush, but ideally before next Wednesday.",important,true
msg_006,synthetic,Payroll will be processed one day early this month due to the bank holiday.,informational,false
msg_007,adapted_real_world,The fire alarm test scheduled for Thursday has been postponed to the following week.,informational,false
msg_008,synthetic,"Hi, the printer on floor 3 is out of toner again. Could someone log a facilities request?",routine,true
msg_009,realistic_synthetic,Please confirm your attendance for the quarterly review by replying to this email today.,urgent,true
msg_010,adapted_real_world,Gentle reminder: your annual compliance training expires in 48 hours. Please complete it to avoid access restrictions.,important,true
msg_011,synthetic,We're trialling a new project management tool next month — more details to follow.,informational,false
msg_012,realistic_synthetic,The heating in Building B will be turned off briefly tomorrow morning for maintenance.,informational,false
msg_013,synthetic,Could you send over the finalised invoice for the Henderson project? The client's payment terms start from receipt.,important,true
msg_014,adapted_real_world,Apologies for the short notice — the supplier needs the signed purchase order returned by close of business today.,urgent,true
msg_015,synthetic,Team lunch is booked for next Friday at 12:30. Let me know of any dietary requirements.,routine,true
msg_016,realistic_synthetic,Just flagging that the shared drive migration completed successfully over the weekend. All files should be accessible.,informational,false
msg_017,synthetic,"Hi, would you mind updating the contact list with the new starters' details when you have a moment?",routine,true
msg_018,adapted_real_world,The board has approved the revised travel policy. You can find the updated version on the intranet.,informational,false
msg_019,realistic_synthetic,We need to resolve the discrepancy in last month's expense report before finance closes the books on Wednesday.,important,true
msg_020,synthetic,Your desk phone extension has been changed to 4417. No action needed on your end.,informational,false
msg_021,adapted_real_world,Please be aware that the car park will be resurfaced next week. Alternative parking arrangements are detailed below.,informational,true
msg_022,synthetic,The server is showing critical memory usage. Can someone from infrastructure take a look as soon as possible?,urgent,true
msg_023,realistic_synthetic,"Hi all, attached is the agenda for Monday's team meeting. Feel free to suggest additions.",routine,true
msg_024,synthetic,Would you be able to cover the reception desk between 1 and 2 tomorrow? Sarah is at an appointment.,routine,true
msg_025,adapted_real_world,A delivery arrived for your department. It's been left in the loading bay and needs collecting before 4pm.,important,true
msg_026,synthetic,Congratulations to the sales team on exceeding their Q3 target by 12%.,informational,false
