message_id,source,message_text,priority_label,action_required
msg_001,realistic_synthetic,"Server monitoring alert: primary database node unresponsive since 06:42. Failover has not triggered automatically. Manual intervention required.",urgent,true
msg_002,synthetic,"Quarterly business review deck needs your section by Friday. Please add slides covering your team's Q3 deliverables and Q4 targets.",important,true
msg_003,realistic_synthetic,"Reminder to submit your timesheets for this pay period. The payroll cutoff is end of day Thursday.",routine,true
msg_004,synthetic,"Just a heads-up that the office will be closed next Monday for the bank holiday. Normal hours resume Tuesday.",informational,false
msg_005,adapted_real_world,"The client has moved the contract signing to this afternoon instead of next week. We need the revised pricing sheet reviewed and approved before 2pm.",urgent,true
msg_006,realistic_synthetic,"New project scope document is ready for sign-off. Please review the attached PDF and confirm your approval by Wednesday.",important,true
msg_007,synthetic,"Could you add any agenda items for the monthly team meeting? Send them over by tomorrow morning so I can circulate the final agenda.",routine,true
msg_008,adapted_real_world,"Welcome to the team, Jordan! Everyone please join me in welcoming our new data analyst starting in the Manchester office.",informational,false
msg_009,realistic_synthetic,"Payment authorisation required for the outstanding supplier invoice. If this is not processed today, we will incur a late fee.",urgent,true
msg_010,synthetic,"Updated data privacy policy requires acknowledgement from each department head. Please read and confirm via the compliance portal by next Friday.",important,true
msg_011,adapted_real_world,"Your desk booking for next Monday in Building C, Floor 2 has been confirmed. No further action needed.",routine,false
msg_012,realistic_synthetic,"The company achieved its Q2 revenue target ahead of schedule. Thanks to everyone for the strong quarter.",informational,false
msg_013,synthetic,"Compliance audit response materials are due by close of business today. Legal needs the signed attestation forms returned to the shared folder.",urgent,true
msg_014,adapted_real_world,"Team restructure proposal has been circulated. I would appreciate your candid feedback by Wednesday so we can finalise before the leadership offsite.",important,true
msg_015,realistic_synthetic,"Office supply order going in on Thursday. Please add anything you need to the shared list before then.",routine,true
msg_016,synthetic,"Building maintenance is scheduled for this weekend. Access to floors 3 and 4 will be restricted from Saturday 8am to Sunday 6pm.",informational,false
msg_017,adapted_real_world,"SSL certificate for the customer portal expires at midnight tonight. If the renewal is not applied, users will see browser security warnings from tomorrow.",urgent,true
msg_018,realistic_synthetic,"Performance review self-assessments are due next week. Use the updated template on the HR portal and submit to your line manager.",important,true
msg_019,synthetic,"Please review and approve any outstanding leave requests from your direct reports. Two requests are pending your sign-off.",routine,true
msg_020,adapted_real_world,"IT systems upgrade completed successfully over the weekend. All services are back online and running as expected.",informational,false
msg_021,realistic_synthetic,"Data backup job failed overnight and needs a manual restart before the business day begins. Logs attached.",urgent,true
msg_022,synthetic,"Conference travel request needs to be submitted this week to qualify for the early bird rate. Approval form attached.",important,true
msg_023,adapted_real_world,"Catering preferences for next Wednesday's lunch meeting — please reply with any dietary requirements by Monday.",routine,true
msg_024,realistic_synthetic,"Company newsletter, March edition, is now available on the intranet. This month features updates from the product and engineering teams.",informational,false
msg_025,synthetic,"The VP of operations has requested a callback within the hour regarding the client escalation. Please prioritise this.",urgent,true
msg_026,adapted_real_world,"Software licence audit in progress. Please verify and confirm the tools your team is actively using via the shared spreadsheet by next Tuesday.",important,true
msg_027,realistic_synthetic,"Building access card renewals are due. Please visit reception with your current card at your convenience this week.",routine,true
msg_028,synthetic,"New recycling stations have been placed on each floor. Signage explains what goes in each bin.",informational,false
msg_029,adapted_real_world,"Insurance policy renewal expires at end of day. The broker needs a signed confirmation returned by 4pm to avoid a lapse in coverage.",urgent,true
msg_030,realistic_synthetic,"Engineering hiring plan for next quarter needs manager approval. Please review headcount requests and comment in the shared doc.",important,true
msg_031,synthetic,"Reminder to update your out-of-office auto-reply before your upcoming leave. IT will not be able to set it on your behalf.",routine,true
msg_032,adapted_real_world,"Summary of key decisions from yesterday's all-hands meeting is attached for those who could not attend.",informational,false
msg_033,realistic_synthetic,"Payroll discrepancy identified on three employee records. Finance needs corrections submitted before this afternoon's processing run.",urgent,true
msg_034,synthetic,"Cross-team collaboration proposal for the new analytics platform. Your input on the integration requirements section would be helpful by Thursday.",important,true
msg_035,adapted_real_world,"Shared drive reorganisation is underway. Please move your project files into the new folder structure when you have a moment.",routine,true
msg_036,realistic_synthetic,"Parking garage levels B2 and B3 have reopened following resurfacing work. All spaces are available again.",informational,false
msg_037,synthetic,"Vendor invoice dispute: the supplier is threatening to pause deliveries unless we respond to their query by end of day.",urgent,true
msg_038,adapted_real_world,"Training certification renewal is due within the next two weeks. Book a slot through the learning portal to stay compliant.",important,true
msg_039,realistic_synthetic,"IT is requesting that everyone restart their laptops to apply the latest security patch. Please do so before end of day.",routine,true
msg_040,synthetic,"Employee satisfaction survey results have been published on the HR portal. Overall engagement scores are up 4% from last year.",informational,false
msg_041,adapted_real_world,"Board presentation needs a final review by noon. I have incorporated your earlier comments but need confirmation that section 3 is accurate.",urgent,true
msg_042,realistic_synthetic,"Q3 budget variance report is attached. Please review the figures for your cost centre and flag any discrepancies by Friday.",important,true
msg_043,synthetic,"Parking permit renewal forms are now available on the facilities portal. Complete yours before end of month to keep your allocated space.",routine,true
msg_044,adapted_real_world,"Clocks go forward this weekend. Just a reminder to adjust any manual time-tracking devices.",informational,false
msg_045,realistic_synthetic,"New hire starts tomorrow morning and their laptop has not been provisioned yet. Can someone from IT set this up as a priority?",urgent,true
msg_046,synthetic,"Marketing campaign brief is ready for stakeholder review. Comments are open in the shared document until next Wednesday.",important,true
msg_047,adapted_real_world,"Fire warden training session sign-up sheet attached. Please register if you have not completed this year's session.",routine,true
msg_048,realistic_synthetic,"Updated org chart reflecting last month's changes is now available on the intranet. No action required.",informational,false
msg_049,synthetic,"Tax filing submission deadline is today. If your department's figures have not been sent to finance, please do so immediately.",urgent,true
msg_050,adapted_real_world,"Onboarding checklist for our new starter next Monday has been updated. Hiring managers please review and confirm readiness.",important,true
msg_051,realistic_synthetic,"Weekly standup notes from this morning's call have been posted in the usual Teams channel.",routine,false
msg_052,synthetic,"Photos from last Friday's team lunch have been uploaded to the shared album. Nice turnout!",informational,false
msg_053,adapted_real_world,"Production deployment is blocked by a failing integration test. The release window closes in three hours and the fix needs review now.",urgent,true
msg_054,realistic_synthetic,"Product roadmap draft for H2 has been shared with the leadership group. Have a read when you get a chance.",important,false
msg_055,synthetic,"Document templates on the intranet have been updated to reflect the new brand guidelines. Old versions have been archived.",routine,false
msg_056,adapted_real_world,"Charity 5K run next month — registration link below if you are interested. The company will match donations.",informational,true
msg_057,realistic_synthetic,"API rate limiting thresholds were exceeded this morning causing intermittent service degradation. The platform team is aware and monitoring.",urgent,false
msg_058,synthetic,"Customer feedback summary from last month's NPS survey is attached. Scores remained steady across all segments.",important,false
msg_059,adapted_real_world,"Please confirm your attendance for the team away day on 28 March. We need final numbers for the venue booking.",routine,true
msg_060,realistic_synthetic,"Wi-Fi network name is changing next week. You will need to reconnect your devices using the credentials in the attached guide.",informational,true
msg_061,synthetic,"Could you please look at this when you have a moment? The client brief needs to go out today and I want to make sure the numbers are right.",urgent,true
msg_062,adapted_real_world,"New expense policy changes take effect from 1 April. Key differences are outlined in the attached summary.",important,false
msg_063,realistic_synthetic,"Reminder to log your professional development hours for this quarter. The portal closes for submissions on Friday.",routine,true
msg_064,synthetic,"Office temperature has been recalibrated following recent complaints. Thermostats are now set to 22 degrees across all floors.",informational,false
msg_065,adapted_real_world,"Emergency maintenance window approved for tonight between 11pm and 3am. Services may be briefly unavailable during this period.",urgent,false
msg_066,realistic_synthetic,"Risk assessment template needs to be completed for all active projects. Please submit yours via the governance portal by next Thursday.",important,true
msg_067,synthetic,"Facilities team asking everyone to clear personal items from the shared kitchen fridge by Friday for the monthly clean.",routine,false
msg_068,adapted_real_world,"Annual company report is now available for download from the investor relations page.",informational,false
msg_069,realistic_synthetic,"Budget approval is needed before the purchase order expires at 5pm today. Finance will cancel the requisition if unsigned.",urgent,true
msg_070,synthetic,"Department objectives draft has been shared for alignment. Take a look and let me know if anything feels off.",important,true
msg_071,adapted_real_world,"Room booking confirmed for your Wednesday 2pm session in Meeting Room B. AV equipment will be set up in advance.",routine,false
msg_072,realistic_synthetic,"End-of-year celebration venue has been confirmed. Save the date: 18 December at The Grand Hall.",informational,false
msg_073,synthetic,"This is a gentle reminder that the signed NDA needs to be returned to legal before we can share the project files. We are waiting on yours.",urgent,true
msg_074,adapted_real_world,"Vendor selection committee meeting has moved from Tuesday to Thursday at 10am. Same agenda and location.",important,true
msg_075,realistic_synthetic,"Please archive old project folders that are no longer active. Instructions for the archive process are on the wiki.",routine,true
msg_076,synthetic,"New coffee machine has been installed in the second-floor break room. Quick start guide is posted on the wall beside it.",informational,false
msg_077,adapted_real_world,"Hi, I know you are busy but the procurement form really does need a signature today. The funding window closes at midnight.",urgent,true
msg_078,realistic_synthetic,"Office lease renewal terms have been shared. Facilities committee members please review before next week's discussion.",important,true
msg_079,synthetic,"Updated internal phone directory has been circulated. Please check your entry and let admin know of any corrections.",routine,true
msg_080,adapted_real_world,"Please note the updated visitor sign-in procedure at reception. All guests must now show photo ID on arrival.",informational,true
msg_081,realistic_synthetic,"The client has moved today's sign-off call to 3 pm and needs the revised deck before then.",urgent,true
msg_082,synthetic,"Our payment gateway is failing on live orders, please check the logs as soon as you are online.",urgent,true
msg_083,adapted_real_world,"Security needs confirmation of the visitor list before noon or reception will not issue passes.",urgent,true
