message_id,source,message_text,priority_label,action_required,split,predicted_priority_label,predicted_action_required,priority_correct,action_correct,error_type
msg_103,adapted_real_world,Please complete the mandatory procurement form this week so the order can be raised.,important,true,test,informational,true,False,True,priority_only
msg_027,realistic_synthetic,Building access card renewals are due. Please visit reception with your current card at your convenience this week.,routine,true,test,informational,true,False,True,priority_only
msg_200,synthetic,The board has officially approved our budget for the next fiscal year. Details are attached for your reference.,important,false,test,routine,true,False,False,priority_and_action
msg_116,realistic_synthetic,The office move plan is attached for review ahead of Monday's coordination call.,important,false,test,important,true,True,False,action_only
msg_016,synthetic,Building maintenance is scheduled for this weekend. Access to floors 3 and 4 will be restricted from Saturday 8am to Sunday 6pm.,informational,false,test,informational,true,True,False,action_only
msg_123,adapted_real_world,Reminder to submit your annual leave dates for next month when you get a chance.,routine,true,test,important,true,False,True,priority_only
msg_024,realistic_synthetic,"Company newsletter, March edition, is now available on the intranet. This month features updates from the product and engineering teams.",informational,false,test,informational,true,True,False,action_only
msg_160,synthetic,The agenda is attached in case you want to add discussion points before tomorrow's forum.,informational,true,test,routine,true,False,True,priority_only
msg_227,synthetic,Reminder: the office will be closed on Monday in observance of the public holiday.,informational,false,test,informational,true,True,False,action_only
msg_068,adapted_real_world,Annual company report is now available for download from the investor relations page.,informational,false,test,informational,true,True,False,action_only
msg_140,synthetic,The recurring check-in has been shortened to 15 minutes from next week.,routine,false,test,urgent,true,False,False,priority_and_action
msg_180,realistic_synthetic,"Emergency incident 8821 has been resolved by the night shift. No action needed, but read the post-mortem.",urgent,false,test,urgent,true,True,False,action_only
msg_119,realistic_synthetic,Please note that the external auditor will visit next week and may request files from your team.,important,false,test,routine,true,False,False,priority_and_action
msg_009,realistic_synthetic,"Payment authorisation required for the outstanding supplier invoice. If this is not processed today, we will incur a late fee.",urgent,true,test,informational,true,False,True,priority_only
msg_134,synthetic,Please replace the placeholder text in the template before you circulate it.,routine,true,test,important,true,False,True,priority_only
msg_088,synthetic,Please send the corrected attendee numbers before lunch because catering is placing the final order.,urgent,true,test,routine,true,False,True,priority_only
msg_201,realistic_synthetic,Could you please approve my timecard for this week?,routine,true,test,important,true,False,True,priority_only
msg_085,synthetic,"I cannot access the shared drive needed for this morning's submission, can someone restore my permissions?",urgent,true,test,routine,true,False,True,priority_only
msg_104,realistic_synthetic,The supplier sent a revised quote and needs confirmation by end of day tomorrow.,important,true,test,urgent,true,False,True,priority_only
msg_224,synthetic,The quarterly newsletter has been published. You can find it on the company portal.,informational,false,test,informational,true,True,False,action_only
msg_230,synthetic,Congratulations to the sales team for exceeding the monthly quota!,informational,false,test,routine,true,False,False,priority_and_action
msg_179,synthetic,"Critical security patch has been applied to all workstations. Please save your work, systems will force reboot in 5 minutes.",urgent,false,test,informational,true,False,False,priority_and_action
msg_204,realistic_synthetic,"I am running out of whiteboard markers, can you order some more for conference room B?",routine,true,test,informational,true,False,True,priority_only
msg_137,synthetic,Just confirming that facilities will test the fire alarm at 4 pm today.,routine,false,test,urgent,true,False,False,priority_and_action
msg_120,synthetic,Could you let us know by Friday whether you still need editing access to the archive folder?,important,true,test,routine,true,False,True,priority_only
msg_058,synthetic,Customer feedback summary from last month's NPS survey is attached. Scores remained steady across all segments.,important,false,test,important,true,True,False,action_only
msg_156,realistic_synthetic,"No need to respond, this is just confirmation that your request has been closed.",informational,false,test,urgent,true,False,False,priority_and_action
msg_208,adapted_real_world,Can we reschedule our 1:1 to Thursday instead of Wednesday?,routine,true,test,important,true,False,True,priority_only
msg_155,adapted_real_world,Please be aware that tomorrow's networking event is now at full capacity.,informational,false,test,urgent,true,False,False,priority_and_action
msg_032,adapted_real_world,Summary of key decisions from yesterday's all-hands meeting is attached for those who could not attend.,informational,false,test,important,true,False,False,priority_and_action
msg_222,realistic_synthetic,"Welcome to the team, David! He will be joining us as a Senior Developer starting today.",informational,false,test,urgent,true,False,False,priority_and_action
msg_008,adapted_real_world,"Welcome to the team, Jordan! Everyone please join me in welcoming our new data analyst starting in the Manchester office.",informational,false,test,important,true,False,False,priority_and_action
msg_028,synthetic,New recycling stations have been placed on each floor. Signage explains what goes in each bin.,informational,false,test,important,true,False,False,priority_and_action
msg_232,adapted_real_world,Just letting you know I am logging off a bit early today to pick up my kids.,informational,false,test,important,false,False,True,priority_only
msg_099,realistic_synthetic,We have escalated the access issue to the vendor and will contact you once they respond.,urgent,false,test,urgent,true,True,False,action_only
msg_124,realistic_synthetic,Please update the CRM notes after your client call this afternoon.,routine,true,test,urgent,true,False,True,priority_only
