message_id,source,message_text,priority_label,action_required,split
msg_171,realistic_synthetic,The PR disaster just hit Twitter. Marketing needs your approval on the apology statement right now.,urgent,True,train
msg_196,adapted_real_world,Your feedback on the beta feature is requested. Please fill out the survey when you have a chance.,important,True,train
msg_223,adapted_real_world,"Just a heads up, I will be working from home tomorrow due to a doctor appointment.",informational,False,train
msg_176,synthetic,Production deployment failed and corrupted the state. Initiate rollback procedure immediately.,urgent,True,train
msg_138,adapted_real_world,Your desk move request has been logged and is waiting for scheduling.,routine,False,train
msg_151,synthetic,"For awareness, the client has delayed their rollout by two weeks.",informational,False,train
msg_146,adapted_real_world,Just a heads-up that the visitor parking area is partly closed this week.,informational,False,train
msg_043,synthetic,Parking permit renewal forms are now available on the facilities portal. Complete yours before end of month to keep your allocated space.,routine,True,train
msg_202,adapted_real_world,Can someone grant me access to the shared marketing drive?,routine,True,train
msg_217,adapted_real_world,Please check if your profile picture on the intranet is up to date.,routine,True,train
msg_233,synthetic,The company stock price hit a 52-week high today.,informational,False,train
msg_143,adapted_real_world,Your password was changed successfully.,informational,False,train
msg_054,realistic_synthetic,Product roadmap draft for H2 has been shared with the leadership group. Have a read when you get a chance.,important,False,train
msg_025,synthetic,The VP of operations has requested a callback within the hour regarding the client escalation. Please prioritise this.,urgent,True,train
msg_086,adapted_real_world,The finance cutoff is at 1 pm and your approval is still missing on the expense batch.,urgent,True,train
msg_033,realistic_synthetic,Payroll discrepancy identified on three employee records. Finance needs corrections submitted before this afternoon's processing run.,urgent,True,train
msg_209,synthetic,I need someone to cover my shift next Tuesday morning. Let me know if you can.,routine,True,train
msg_169,adapted_real_world,Investor call starts in 15 minutes and the presentation link is broken. Fix it please.,urgent,True,train
msg_198,realistic_synthetic,We are ordering new laptops for the engineering team. Please specify your preferred model in the sheet.,important,True,train
msg_210,realistic_synthetic,Please sign the digital birthday card for Sarah before we send it out tomorrow.,routine,True,train
msg_220,adapted_real_world,"Just logging my sick day in the system, I will be offline today.",routine,False,train
msg_188,synthetic,The legal team has updated our terms of service. Review the changes to ensure your module complies.,important,True,train
msg_205,adapted_real_world,Could you take a quick look at this pull request when you have a moment?,routine,True,train
msg_157,synthetic,"The monthly dashboard has been published, please review section three before Friday if it relates to your area.",informational,True,train
msg_071,adapted_real_world,Room booking confirmed for your Wednesday 2pm session in Meeting Room B. AV equipment will be set up in advance.,routine,False,train
msg_107,realistic_synthetic,A reminder that your compliance training expires on Friday and must be renewed this week.,important,True,train
msg_080,adapted_real_world,Please note the updated visitor sign-in procedure at reception. All guests must now show photo ID on arrival.,informational,True,train
msg_234,realistic_synthetic,The parking lot restriping project is now complete.,informational,False,train
msg_214,adapted_real_world,Please vote on where we should order lunch from for the team building event.,routine,True,train
msg_193,adapted_real_world,Please submit your travel expenses from the conference by Friday for end-of-month processing.,important,True,train
msg_167,synthetic,The payroll file was corrupted and needs to be resubmitted by 1 PM or nobody gets paid tomorrow.,urgent,True,train
msg_072,realistic_synthetic,End-of-year celebration venue has been confirmed. Save the date: 18 December at The Grand Hall.,informational,False,train
msg_191,synthetic,Can you approve the budget allocation for the new software licenses? The team is blocked until it is done.,important,True,train
msg_051,realistic_synthetic,Weekly standup notes from this morning's call have been posted in the usual Teams channel.,routine,False,train
msg_070,synthetic,Department objectives draft has been shared for alignment. Take a look and let me know if anything feels off.,important,True,train
msg_003,realistic_synthetic,Reminder to submit your timesheets for this pay period. The payroll cutoff is end of day Thursday.,routine,True,train
msg_002,synthetic,Quarterly business review deck needs your section by Friday. Please add slides covering your team's Q3 deliverables and Q4 targets.,important,True,train
msg_067,synthetic,Facilities team asking everyone to clear personal items from the shared kitchen fridge by Friday for the monthly clean.,routine,False,train
msg_113,realistic_synthetic,The candidate panel notes are due by tomorrow afternoon so recruitment can move forward.,important,True,train
msg_212,synthetic,Remember to turn off your monitors before leaving for the long weekend.,routine,True,train
msg_112,adapted_real_world,Please check the draft contract wording and flag any issues before it goes to legal.,important,True,train
msg_004,synthetic,Just a heads-up that the office will be closed next Monday for the bank holiday. Normal hours resume Tuesday.,informational,False,train
msg_215,synthetic,"I have updated the meeting agenda, please review and let me know if I missed anything.",routine,True,train
msg_154,synthetic,A copy of the signed agreement has been stored in the contracts folder.,informational,False,train
msg_236,synthetic,This is an automated notification that your password will expire in 14 days.,informational,False,train
msg_012,realistic_synthetic,The company achieved its Q2 revenue target ahead of schedule. Thanks to everyone for the strong quarter.,informational,False,train
msg_038,adapted_real_world,Training certification renewal is due within the next two weeks. Book a slot through the learning portal to stay compliant.,important,True,train
msg_065,adapted_real_world,Emergency maintenance window approved for tonight between 11pm and 3am. Services may be briefly unavailable during this period.,urgent,False,train
msg_073,synthetic,This is a gentle reminder that the signed NDA needs to be returned to legal before we can share the project files. We are waiting on yours.,urgent,True,train
msg_102,synthetic,Your line manager would like the quarterly summary updated before Thursday's planning meeting.,important,True,train
msg_170,synthetic,Alert: CPU usage at 100% on core services. Scale up the clusters before we experience an outage.,urgent,True,train
msg_144,realistic_synthetic,Catering has confirmed the vegetarian option count for the workshop.,informational,False,train
msg_110,realistic_synthetic,Could you update the project timeline to reflect the scope changes discussed earlier?,important,True,train
msg_127,realistic_synthetic,Can you send me the dial-in details for tomorrow's regular team sync?,routine,True,train
msg_197,synthetic,Let's finalize the slide deck for the all-hands meeting. I need your section by COB.,important,True,train
msg_129,adapted_real_world,"The onboarding checklist is attached, please tick off the remaining items this week.",routine,True,train
msg_095,adapted_real_world,"The classroom has changed again and students are already arriving, please update the notice board.",urgent,True,train
msg_029,adapted_real_world,Insurance policy renewal expires at end of day. The broker needs a signed confirmation returned by 4pm to avoid a lapse in coverage.,urgent,True,train
msg_037,synthetic,Vendor invoice dispute: the supplier is threatening to pause deliveries unless we respond to their query by end of day.,urgent,True,train
msg_115,adapted_real_world,Would you be able to resubmit the expenses with the missing receipt attached?,important,True,train
msg_122,synthetic,Can you book a meeting room for our weekly catch-up and send the invite?,routine,True,train
msg_226,adapted_real_world,A new coffee machine has been installed in the breakroom on the 3rd floor.,informational,False,train
msg_153,realistic_synthetic,The supplier has acknowledged the complaint and is investigating.,informational,False,train
msg_020,adapted_real_world,IT systems upgrade completed successfully over the weekend. All services are back online and running as expected.,informational,False,train
msg_141,realistic_synthetic,The office will close one hour early on Friday due to building maintenance.,informational,False,train
msg_064,synthetic,Office temperature has been recalibrated following recent complaints. Thermostats are now set to 22 degrees across all floors.,informational,False,train
msg_044,adapted_real_world,Clocks go forward this weekend. Just a reminder to adjust any manual time-tracking devices.,informational,False,train
msg_059,adapted_real_world,Please confirm your attendance for the team away day on 28 March. We need final numbers for the venue booking.,routine,True,train
msg_106,adapted_real_world,We need your approval on the new starter equipment list before HR can proceed.,important,True,train
msg_026,adapted_real_world,Software licence audit in progress. Please verify and confirm the tools your team is actively using via the shared spreadsheet by next Tuesday.,important,True,train
msg_136,realistic_synthetic,The monthly newsletter draft is attached for reference before tomorrow's send.,routine,False,train
msg_213,realistic_synthetic,Can you point me to the documentation for the API authentication?,routine,True,train
msg_066,realistic_synthetic,Risk assessment template needs to be completed for all active projects. Please submit yours via the governance portal by next Thursday.,important,True,train
msg_237,realistic_synthetic,The town hall meeting will be broadcast live via the link provided below.,informational,False,train
msg_173,synthetic,"Main database dropped. Restoring from backup, please pause all batch jobs until further notice.",urgent,True,train
msg_150,realistic_synthetic,The training webinar recording is available on the intranet.,informational,False,train
msg_238,adapted_real_world,"The client pushed the launch date back by a week, so we have a bit more breathing room.",informational,False,train
msg_199,adapted_real_world,Reminder that open enrollment ends next Friday. Make sure you select your benefits.,important,False,train
msg_100,synthetic,Please confirm within the next two hours whether legal can attend the client call or we will need to postpone.,urgent,True,train
msg_195,realistic_synthetic,I need a final headcount for the executive retreat. Please confirm if you will be attending.,important,True,train
msg_076,synthetic,New coffee machine has been installed in the second-floor break room. Quick start guide is posted on the wall beside it.,informational,False,train
msg_206,synthetic,Please update the contact list with the new hires from this month.,routine,True,train
msg_010,synthetic,Updated data privacy policy requires acknowledgement from each department head. Please read and confirm via the compliance portal by next Friday.,important,True,train
msg_045,realistic_synthetic,New hire starts tomorrow morning and their laptop has not been provisioned yet. Can someone from IT set this up as a priority?,urgent,True,train
